,UID,Name,Age,E-Mail,Address,City,Country,License_Num,Vehicle_Model,KWh,SOC,Parking_time,Departure_time
0,e3e70682-c209-4cac-629f-6fbed82c07cd,Edwin Baum-Killer,64,junkkaren@schmiedecke.de,"Heydrichweg 5/5
96785 Wismar",Neustadt am Rübenberge,Germany,MOL-I-64,Chevrolet 1500 Extended Cab,5.08,0.8,2017-08-09 06:27:47.897373,2017-08-09 10:38:22.545718
1,f728b4fa-4248-5e3a-0a5d-2f346baa9455,Türkan Kobelt,70,vschaaf@hotmail.de,"Nelly-Löchel-Straße 060
22176 Eggenfelden",Gunzenhausen,Germany,AS-CE-828,Audi A3,0.55,0.68,2021-05-31 07:50:41.935340,2021-05-31 12:10:31.599401
2,eb1167b3-67a9-c378-7c65-c1e582e2e662,Ulla Beyer-Gnatz,43,langernmichaele@anders.com,"Leonardo-Wieloch-Allee 3
59830 Meppen",Prenzlau,Germany,DA-M-1711,Volkswagen Jetta,7.35,0.4,2017-10-22 11:47:38.142434,2017-10-22 19:23:46.573289
3,f7c1bd87-4da5-e709-d471-3d60c8a70639,Carl-Heinz Dietz-Peukert,62,anatolij29@gmail.com,"Döhnring 98
28507 Fürstenwalde",Haldensleben,Germany,KIB-JL-39,Audi S5,1.27,0.75,2020-04-12 18:24:35.866213,2020-04-12 21:00:56.401994
4,e443df78-9558-867f-5ba9-1faf7a024204,Enrico Thies,45,christos99@martin.net,"Heinz-Peter-Hendriks-Weg 643
20721 Göppingen",Stadtsteinach,Germany,PF-JY-188,Nissan LEAF,1.21,0.67,2017-02-22 00:46:09.689799,2017-02-22 08:13:57.881911
5,23a7711a-8133-2876-37eb-dcd9e87a1613,Gundi Mitschke B.Sc.,44,wirthleyla@gmx.de,"Claus-Dieter-Beer-Gasse 994
66137 Herford",Lübben,Germany,NB-T-48,GMC Acadia,8.22,0.26,2016-08-17 00:42:37.613996,2016-08-17 16:58:17.115465
6,1846d424-c17c-6279-23c6-612f48268673,Clarissa Koch-Langern,41,ditschlerinkristiane@schmiedecke.com,"Harloffallee 90
09340 Einbeck",Burg,Germany,SLF-B-886,Ford Crown Victoria,9.37,0.52,2018-03-23 15:52:49.759113,2018-03-23 16:43:14.970541
7,fcbd04c3-4021-2ef7-cca5-a5a19e4d6e3c,Prof. Emilia Hölzenbecher,65,tabeahermann@aol.de,"Heßallee 2/7
59064 Reutlingen",Quedlinburg,Germany,SÖM-NL-467,Ram 2500 Crew Cab,1.86,0.44,2017-08-11 01:24:46.609228,2017-08-11 08:57:38.414373
8,b4862b21-fb97-d435-8856-1712e8e5216a,Hubert Mende,61,nstadelmann@krause.org,"Anke-Albers-Weg 7/3
16026 Schwabmünchen",Recklinghausen,Germany,ES-C-855,Audi S4,0.18,0.75,2018-08-31 17:45:53.818916,2018-08-31 18:31:08.253384
9,259f4329-e6f4-590b-9a16-4106cf6a659e,Ing. Ehrhard Dehmel MBA.,30,dariuszlangern@yahoo.de,"Meisterplatz 4/9
38575 Schwäbisch Gmünd",Lüdenscheid,Germany,HA-M-224,Oldsmobile Bravada,2.22,0.46,2015-03-06 20:37:17.945988,2015-03-07 07:49:57.937672
10,12e0c8b2-bad6-40fb-1948-8dec4f65d4d9,Axel Steinberg-Scheuermann,52,hans-joachim88@aol.de,"Wähnerweg 76
00386 Eichstätt",Wismar,Germany,FO-WA-636,Dodge Ram Wagon 1500,7.49,0.33,2020-08-24 05:18:01.262184,2020-08-24 05:50:16.739680
11,5487ce1e-af19-922a-d9b8-a714e61a441c,Hanno Ortmann B.A.,89,doehnchristian@yahoo.de,"Samir-Loos-Straße 578
87319 Belzig",Groß-Gerau,Germany,BRB-XB-81,Toyota Tundra CrewMax,7.37,0.55,2015-01-26 12:47:50.664209,2015-01-26 21:01:32.610908
12,5a921187-19c7-8df4-8f4f-f31e78de5857,Adeline Hethur,32,mechthildemeyer@web.de,"Lehmannring 83
06878 Stuttgart",Haldensleben,Germany,HS-RD-1781,Chevrolet Suburban 1500,1.93,0.49,2021-11-10 17:58:32.172358,2021-11-11 06:28:37.845196
13,a3f2c9bf-9c63-16b9-50f2-44556f25e2a2,Victoria Gunpf,83,zoltan17@web.de,"Kostolzinring 81
56644 Main-Höchst",Mainburg,Germany,KH-J-379,Land Rover LR3,2.4,0.86,2019-05-27 02:15:56.730388,2019-05-27 03:55:57.247321
14,8d723104-f773-83c1-3458-a748e9bb17bc,Oda Heintze,86,filippohaering@bachmann.com,"Eckhard-Rohleder-Allee 5/3
78030 Kulmbach",Herford,Germany,UE-P-63,Audi A4,0.32,0.82,2016-03-25 01:02:53.550115,2016-03-26 01:06:10.027568
15,85776e9a-dd84-f39e-7154-5a137a1d5006,Dipl.-Ing. Hedwig Hauffer MBA.,68,gerdiwirth@anders.de,"Luka-Wähner-Straße 3
14656 Demmin",Lippstadt,Germany,PA-JW-282,Ford F250 Super Duty Regular Cab,5.94,0.84,2015-06-18 06:09:58.693105,2015-06-18 09:05:28.884315
16,eb2083e6-ce16-4dba-0ff1-8e0242af9fc3,Dr. Alla Junck B.Eng.,22,paula78@dowerg.de,"Tom-Binner-Straße 9/3
52651 Melsungen",Hünfeld,Germany,FO-IY-1618,Toyota Prius v,4.23,0.63,2021-05-20 05:40:40.712225,2021-05-20 07:24:21.810116
17,17e0aa3c-0398-3ca8-ea7e-9d498c778ea6,Heinz-Günther Hermighausen-Tröst,26,xreichmann@aol.de,"Henkstraße 5/1
28817 Husum",Artern,Germany,HAM-S-714,Dodge Ram 1500 Regular Cab,5.29,0.76,2015-02-26 08:28:14.820199,2015-02-26 10:55:52.782132
18,b5d32b16-6619-4cb1-d710-37d1b83e90ec,Rosalie Scholl,51,jkranz@gmx.de,"Mareike-Stroh-Ring 68
14936 Halberstadt",Arnstadt,Germany,HR-ZU-763,Dodge Sprinter 3500 Cargo,9.13,0.77,2022-09-18 16:19:16.345407,2022-09-19 05:53:25.312347
19,a0116be5-ab0c-1681-c8f8-e3d0d3290a4c,Ing. Eduard Biggen,68,alexeieckbauer@stahr.com,"Madlen-Schomber-Straße 198
44944 Großenhain",Forst,Germany,EN-EH-19,GMC Savana 3500 Passenger,5.6,0.7,2021-01-24 11:40:19.529984,2021-01-25 11:06:41.271902
20,d3fbf47a-7e5b-1e7f-9ca5-499d004ae545,Olena Sontag B.A.,81,luigischeibe@weinhold.org,"Zdravko-Kabus-Weg 102
71422 Apolda",Mittweida,Germany,MST-P-4855,Chevrolet Corvette,1.98,0.25,2022-05-08 19:53:37.690395,2022-05-09 10:49:10.896465
